overdue, is_yun, career_state, sort_time, career_talk_id, company_id, company_name, logo, hotcount, professionals, career_type, recruit_type, company_review, company_property, industry_category, city_name, meet_name, meet_time, school_name, address, room, view_count, recept_faculty, is_above_college_degree, is_above_bachelor_degree, is_above_master_degree, is_above_doctor_degree, is_recommend, recommend_time, meet_day
0, 0, 0, -1522198800, 99103, 30932, 广东三和化工科技有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1521017182-2493.jpg, 0, 不限专业, , 正式宣讲, , 其他, 制造业, 中山, 美国三和化工科技集团, 09:00, , 【临】化工院D204, None, 2433, , 1, 0, 0, 0, 0, 0, 2018-03-28
0, 0, 0, -1522148400, 93953, 71131, 北京立德未来助学公益基金会, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1505118659-1926.jpg, 0, 人文地理与城乡规划、土地资源管理、地理信息科学、地理科学, , 正式宣讲, None, 其他企业, 教育, 北京, 美丽中国2018-2020届项目老师宣讲会, 19:00, , 【常】复临舍105, None, 2534, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522148400, 94288, 124190, 格特拉克（江西）传动系统有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1520838911-9820.jpg, 0, 工业设计、车辆工程、机械工艺技术、机械设计制造及其自动化、机械工程, , 正式宣讲, , 三资企业, 制造业, 南昌, 格特拉克（江西）传动系统有限公司, 19:00, , 中楼206, None, 2455, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 91397, 79035, 广东中地土地房地产评估与规划设计有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1506585272-6488.jpg, 5, 测绘工程、测绘类、数学与应用数学、数理基础科学、应用统计学、统计学类、土地资源管理、人文地理与城乡规划、地理信息科学、法学类、经济学类、人文地理与城乡规划、土地资源管理、地理信息科学、统计学、数学与应用数学、人文地理与城乡规划、土地资源管理、地理信息科学、地理科学、人文地理与城乡规划、土地资源管理、地理信息科学, , 正式宣讲, , 民营企业, 房地产业, 广州, 中地集团2018年春季校园招聘, 15:00, , 中楼219, None, 3141, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 89650, 7851, 森达美信昌机器工程（湖南）有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1460432597-1644.jpg, 8, 不限专业, , 正式宣讲, - 成为卡特彼勒中国区代理商的典范、国内工程机械行业的领袖、人才的首选雇主。, 其他企业, 电力、热力、燃气及水生产和供应业, 长沙, 森达美信昌机器上市外资集团招聘管理培训生, 15:00, , 中楼221, , 2810, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 93536, 45416, 中国建筑第六工程局有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1503478313-9907.jpg, 23, , , 正式宣讲, , 国有企业, 建筑业, 塘沽, 中建六局2018春季校园招聘宣讲会, 15:00, , 【常】复临舍106, None, 3359, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 96110, 126728, 山大地纬软件股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1521121078-6664.jpg, 0, 计算机类、计算机科学与技术、网络工程、软件工程、信息安全、信息与计算科学、软件工程、信息安全、计算机科学与技术、网络工程、不限专业, , 正式宣讲, , 国有企业, 信息传输、软件和信息技术服务业, 济南, 山大地纬软件股份有限公司, 15:00, , 复临舍209, , 2789, 毕业生就业指导中心, 0, 1, 1, 0, 0, 0, 2018-03-27
0, 0, 1, -1522134000, 93837, 92953, 西山居科技（武汉）有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1509422304-8372.png, 1, 艺术设计学、设计学类、视觉传达设计、产品设计、数字媒体艺术、艺术设计学、数字媒体艺术、视觉传达设计、动画、美术学类、美术学、美术学类、设计学类、视觉传达设计、艺术设计学、美术学类、绘画、视觉传达设计、数字媒体艺术、艺术设计学、美术学类、绘画、视觉传达设计、数字媒体艺术、动画、美术学类、动画、设计学类、视觉传达设计、数字媒体艺术、美术学类、动画、视觉传达设计、数字媒体艺术、动画、美术学类、视觉传达设计、艺术设计学、数字媒体艺术、动画、美术学类、视觉传达设计、数字媒体艺术、艺术设计学、动画、美术学类、艺术设计, , 正式宣讲, None, 民营企业, 信息传输、软件和信息技术服务业, 武汉, 西山居科技（武汉）有限公司, 15:00, , 复临舍203, None, 3036, 毕业生就业指导中心, 1, 0, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 90510, 120216, 欧菲光集团股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1567412956-8341.png, 16, 金融学、财务管理、会计学、软件工程、计算机类、计算机类、光电信息科学与工程、信息安全、英语、物流管理、英语、日语、国际经济与贸易、经济与贸易类、电子信息工程、计算机类、软件工程、计算机科学与技术、测控技术与仪器、电子信息类、光电信息科学与工程、计算机类、法学类、机械类、电子信息类、英语、机械类、电子信息类、材料类、自动化类、机械类、材料类、自动化类、机械类、机械设计制造及其自动化、机械电子工程、机械工程、机械工程、机械类、机械设计制造及其自动化、机械电子工程、英语、机械工程、机械类、机械电子工程、信息工程, , 正式宣讲, , 民营企业, 制造业, 深圳, 欧菲科技股份有限公司, 15:00, , 复临舍202, , 3745, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 92587, 122268, 远大住宅工业集团股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1520479202-5244.jpg, 0, 给排水科学与工程、土木工程、土木类、建筑类、建筑学、电气类、土木类、土木工程、建筑类、电子信息类、信息安全、软件工程、法学、材料类、材料化学、材料物理、材料科学与工程、无机非金属材料工程、机械设计制造及其自动化、建筑学、土木类、土木工程、建筑类、建筑学、土木工程、建筑学、建筑电气与智能化、不限专业, , 正式招聘, None, 民营企业, 建筑业, 长沙, 远大住工2018年校招湖南大学专场, 15:00, , 【临】远大住工总部, None, 3988, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 96990, 121237, 上海二十冶建设有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1520384654-4680.jpg, 3, 工程管理、工程造价、土木类、土木工程、安全工程、土木类、土木工程, , , None, 国有企业, 建筑业, 宝山, 上海二十冶建设有限公司, 15:00, , 【常】复临舍105, None, 2275, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522134000, 95455, 102094, 特变电工衡阳变压器有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1511227477-2683.jpg, 13, 电气类、智能电网信息工程、电气工程及其自动化、电气工程与智能控制、计算机类、电气工程及其自动化、自动化、电子信息工程、机械设计制造及其自动化、能源与动力工程、机械设计制造及其自动化、电气工程及其自动化、自动化、英语、能源与动力工程、机械设计制造及其自动化、电子信息工程、电气工程及其自动化、自动化、能源与动力工程, , 正式宣讲, , 其他企业, 制造业, 衡阳, 特变电工衡阳变压器有限公司, 15:00, , 复临舍207, , 3100, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-27
0, 0, 1, -1522134000, 89576, 4529, 中国人民财产保险股份有限公司长沙市分公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1489737587-2587.jpg, 3, 金融学、经济学、工商管理、国际经济与贸易、法学、金融学、工商管理、经济学、市场营销、国际经济与贸易、酒店管理、旅游管理、新闻学、行政管理、汉语言文学、法学、金融学、工商管理、汉语言文学、思想政治教育、法学、金融学、法学、工商管理、经济学、国际经济与贸易、金融学、法学、工商管理、市场营销、金融学、经济学、机械类、车辆工程、汽车服务工程、计算机类、市场营销、经济学、国际经济与贸易、工商管理、经济学、市场营销、金融学、会计学、临床医学、护理学、预防医学、药学、医学检验技术、临床医学、医学检验技术、预防医学、护理, , 正式宣讲, , 国有企业, 金融业, 长沙, 中国人民财产保险股份有限公司长沙市分公司2018年校招简章, 15:00, , 复临舍208, , 3010, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522130400, 98580, 131462, 广发信用卡, http://pic.bibibi.net/public/images/icon/4.png, 1, , , 正式宣讲, , 其他, 金融业, , 广发信用卡, 14:00, , 【临】工商管理学院B111学术报告厅, , 2676, , 0, 0, 0, 0, 0, 0, 2018-03-27
0, 0, 0, -1522112400, 96585, 118043, 深圳市通产集团有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1519632340-8993.png, 0, 金融学类、投资学、经济学类、金融学、法学、法学类、会计学、财务管理、工商管理类, , 正式宣讲, None, 国有企业, 制造业, 深圳, 深圳市通产集团有限公司, 09:00, , 【常】复临舍105, None, 3006, 毕业生就业指导中心, 0, 0, 1, 0, 0, 0, 2018-03-27
0, 0, 0, -1522112400, 95311, 126671, 西华师范大学, http://pic.bibibi.net/public/images/icon/5.png, 0, 不限专业, , 正式宣讲, , 高等教育单位, 教育, 南充, 西华师范大学, 09:00, , 中楼221, , 3016, 毕业生就业指导中心, 0, 0, 0, 1, 0, 0, 2018-03-27
0, 0, 0, -1522112400, 97393, 129886, 广东省肇庆市国资委直管企业, http://pic.bibibi.net/public/images/icon/5.png, 0, , , 正式宣讲, , 国有企业, 金融业, , 广东省肇庆市国资委直管企业, 09:00, , 复临舍101及1楼中型场地, , 2798, , 0, 0, 0, 0, 0, 0, 2018-03-27
